epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0563,2.37298,1.92496,1.03925,0.29225,0.50175,0.31424,0.11698,2.17567,1.67804,0.93637,0.000415184,0.000415184,0.000415184
2,67.1705,2.19682,1.53149,1.00858,0.45423,0.40521,0.20518,0.07829,2.15092,2.10088,1.00329,0.00081538,0.00081538,0.00081538
3,95.915,2.09651,1.45865,0.98513,0.26023,0.65178,0.3064,0.12375,2.07112,1.65306,0.9072,0.00119908,0.00119908,0.00119908
4,126.189,2.09977,1.4351,0.98189,0.07414,0.42606,0.08081,0.02218,2.69948,6.25289,1.1174,0.00117575,0.00117575,0.00117575
5,155.274,2.04227,1.40833,0.96693,0.27089,0.61753,0.34105,0.13963,1.95575,1.77795,0.88652,0.001151,0.001151,0.001151
6,184.21,2.00742,1.38036,0.94964,0.2374,0.58466,0.30349,0.13351,1.83553,3.76609,0.86747,0.00112625,0.00112625,0.00112625
7,212.967,1.9643,1.3489,0.946,0.27253,0.63458,0.2952,0.13553,1.87751,7.01561,0.89275,0.0011015,0.0011015,0.0011015
8,242.299,1.88789,1.31027,0.94905,0.29636,0.61369,0.4367,0.21983,1.73574,2.70935,0.86091,0.00107675,0.00107675,0.00107675
9,271.231,1.83939,1.31603,0.94195,0.36292,0.60074,0.42321,0.21343,1.67117,1.44333,0.8517,0.001052,0.001052,0.001052
10,298.781,1.81538,1.25914,0.92721,0.37809,0.73948,0.50621,0.22079,1.75254,1.32626,0.85822,0.00102725,0.00102725,0.00102725
11,327.701,1.85542,1.26347,0.92964,0.54284,0.55284,0.57491,0.29171,1.61529,1.22906,0.84058,0.0010025,0.0010025,0.0010025
12,356.88,1.7939,1.24067,0.93038,0.39625,0.60878,0.49911,0.23091,1.78345,1.51276,0.86081,0.00097775,0.00097775,0.00097775
13,386.153,1.81172,1.27721,0.93127,0.51015,0.59249,0.5715,0.29497,1.61896,1.19458,0.83181,0.000953,0.000953,0.000953
14,415.345,1.76118,1.24576,0.92665,0.49104,0.64904,0.60634,0.29024,1.71945,1.29368,0.84793,0.00092825,0.00092825,0.00092825
15,442.377,1.73686,1.21603,0.92228,0.52819,0.63075,0.57268,0.28625,1.58781,1.31072,0.82271,0.0009035,0.0009035,0.0009035
16,467.387,1.74703,1.21754,0.91004,0.36347,0.64883,0.44954,0.23326,1.66502,2.54973,0.84809,0.00087875,0.00087875,0.00087875
17,493.681,1.71788,1.19937,0.91742,0.31375,0.61873,0.38204,0.18966,1.76127,2.5436,0.8791,0.000854,0.000854,0.000854
18,520.688,1.71585,1.21754,0.91413,0.48773,0.64147,0.51081,0.28285,1.48536,1.90928,0.81059,0.00082925,0.00082925,0.00082925
19,550.186,1.70312,1.19127,0.91536,0.57978,0.57892,0.60645,0.29315,1.59998,1.15636,0.84214,0.0008045,0.0008045,0.0008045
20,578.354,1.70881,1.18211,0.91548,0.53804,0.64577,0.62408,0.30578,1.65502,1.07759,0.83511,0.00077975,0.00077975,0.00077975
21,607.583,1.68501,1.16675,0.89958,0.50068,0.72003,0.65048,0.33894,1.57682,1.13461,0.82519,0.000755,0.000755,0.000755
22,637.786,1.67206,1.15384,0.90042,0.63449,0.55033,0.64336,0.34224,1.62423,1.17827,0.82675,0.00073025,0.00073025,0.00073025
23,666.737,1.65995,1.15862,0.91605,0.45699,0.71295,0.60859,0.30802,1.63155,1.2883,0.84126,0.0007055,0.0007055,0.0007055
24,696.781,1.62783,1.14628,0.90149,0.59484,0.64807,0.66389,0.35345,1.54521,1.12435,0.8176,0.00068075,0.00068075,0.00068075
25,726.286,1.65028,1.14677,0.91292,0.50768,0.6865,0.63485,0.31646,1.57722,1.08788,0.8232,0.000656,0.000656,0.000656
26,756.102,1.64832,1.14583,0.90711,0.64283,0.62935,0.6816,0.36518,1.47908,1.0968,0.80727,0.00063125,0.00063125,0.00063125
27,794.645,1.61713,1.13783,0.90976,0.58903,0.68503,0.70853,0.39175,1.44986,1.0101,0.80481,0.0006065,0.0006065,0.0006065
28,854.307,1.58144,1.09535,0.88874,0.61035,0.62973,0.68519,0.34709,1.62486,1.04039,0.82691,0.00058175,0.00058175,0.00058175
29,916.175,1.58202,1.085,0.88807,0.61849,0.61536,0.63475,0.30713,1.62307,1.14733,0.82173,0.000557,0.000557,0.000557
30,953.042,1.57322,1.09741,0.89269,0.60667,0.6392,0.69348,0.40228,1.42891,1.06613,0.80018,0.00053225,0.00053225,0.00053225
31,984.349,1.58075,1.08904,0.89617,0.59882,0.63601,0.67579,0.33245,1.60758,1.09631,0.81775,0.0005075,0.0005075,0.0005075
32,1014.17,1.57108,1.08374,0.89024,0.68804,0.6293,0.70102,0.38016,1.46072,1.04511,0.80115,0.00048275,0.00048275,0.00048275
33,1042.21,1.53659,1.05499,0.89092,0.74862,0.61462,0.67101,0.34835,1.62572,1.044,0.81641,0.000458,0.000458,0.000458
34,1069.77,1.51799,1.06148,0.88735,0.68127,0.6589,0.70878,0.40054,1.4338,1.02422,0.79828,0.00043325,0.00043325,0.00043325
35,1097.88,1.53251,1.03941,0.88646,0.54297,0.70813,0.66011,0.37497,1.40237,1.0841,0.79627,0.0004085,0.0004085,0.0004085
36,1146.9,1.5075,1.04285,0.88255,0.64669,0.68769,0.69214,0.3807,1.46381,1.02042,0.80549,0.00038375,0.00038375,0.00038375
37,1204.66,1.49833,1.0354,0.88274,0.61153,0.64249,0.67031,0.37463,1.43094,1.07259,0.79615,0.000359,0.000359,0.000359
38,1266.06,1.49637,1.04671,0.88915,0.59282,0.62699,0.65302,0.34962,1.47661,1.06546,0.80432,0.00033425,0.00033425,0.00033425
39,1318.31,1.49573,1.04151,0.87995,0.59244,0.64708,0.67197,0.36679,1.41016,1.05598,0.79597,0.0003095,0.0003095,0.0003095
40,1378.55,1.49204,1.01077,0.88161,0.63454,0.59303,0.67015,0.36455,1.58198,1.06539,0.81107,0.00028475,0.00028475,0.00028475
41,1439.81,1.2952,0.9387,0.87649,0.39281,0.67568,0.43142,0.25447,1.45622,3.9372,0.80384,0.00026,0.00026,0.00026
42,1486.75,1.25782,0.91603,0.87467,0.33889,0.78148,0.44066,0.25946,1.45378,5.2906,0.79504,0.00023525,0.00023525,0.00023525
